Day,WorldCovidTotalCases
0,27
1,27
2,27
3,44
4,44
5,59
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,60
14,61
15,62
16,62
17,67
18,84
19,220
20,240
21,393
22,535
23,632
24,898
25,1351
26,2024
27,2821
28,4588
29,6068
30,7825
31,9826
32,11948
33,14556
34,17374
35,20617
36,24525
37,28276
38,31494
39,34936
40,37554
41,40546
42,43109
43,45181
44,60332
45,64547
46,67107
47,69269
48,71336
49,73331
50,75195
51,75727
52,76723
53,77808
54,78818
55,79341
56,80136
57,81003
58,82117
59,83388
60,85248
61,87091
62,89159
63,91017
64,93332
65,95689
66,98749
67,102869
68,106847
69,111026
70,115844
71,120962
72,128884
73,138358
74,148813
75,161013
76,173492
77,187733
78,204825
79,225119
80,256315
81,288303
82,322529
83,356799
84,401369
85,443905
86,497740
87,558849
88,624034
89,686888
90,744252
91,808965
92,883804
93,961451
94,1039097
95,1121096
96,1206366
97,1272626
98,1345891
99,1423285
100,1508343
101,1595776
102,1685399
103,1760764
104,1829287
105,1894542
106,1971519
107,2050331
108,2134761
109,2217038
110,2296734
111,2367237
112,2441893
113,2529214
114,2595818
115,2674605
116,2747755
117,2847602
118,2929436
119,2996209
120,3069037
121,3148547
122,3234220
123,3322751
124,3403382
125,3480405
126,3558014
127,3637570
128,3725873
129,3818689
130,3908387
131,3996805
132,4071339
133,4142710
134,4229829
135,4317319
136,4414503
137,4512734
138,4605708
139,4684759
140,4772710
141,4869088
142,4974061
143,5082846
144,5189649
145,5288603
146,5380855
147,5471806
148,5566446
149,5670259
150,5789591
151,5912777
152,6040543
153,6146168
154,6248940
155,6362151
156,6488667
157,6616019
158,6749876
159,6875263
160,6988931
161,7097681
162,7224453
163,7360114
164,7496842
165,7641832
166,7774801
167,7894417
168,8016009
169,8159260
170,8337288
171,8476098
172,8657452
173,8816588
174,8942874
175,9079368
176,9243545
177,9419366
178,9598234
179,9787934
180,9969181
181,10128251
182,10290066
183,10483863
184,10686101
185,10894985
186,11100785
187,11288558
188,11465107
189,11642269
190,11850780
191,12066692
192,12291653
193,12523373
194,12739092
195,12933285
196,13125838
197,13350892
198,13585180
199,13841331
200,14090158
201,14317178
202,14530806
203,14735442
204,14976978
205,15260868
206,15536709
207,15820996
208,16077986
209,16307329
210,16522676
211,16767380
212,17067356
213,17357581
214,17634845
215,17896867
216,18117780
217,18325100
218,18581911
219,18859752
220,19145687
221,19421539
222,19687229
223,19914763
224,20135944
225,20397552
226,20687271
227,20972816
228,21262241
229,21518580
230,21748836
231,21948479
232,22206544
233,22487202
234,22761655
235,23015976
236,23279287
237,23503508
238,23716689
239,23973248
240,24251510
241,24535142
242,24812123
243,25078177
244,25321396
245,25566912
246,25835917
247,26120893
248,26400958
249,26695865
250,26969306
251,27215335
252,27424352
253,27670048
254,27959232
255,28264924
256,28569620
257,28853756
258,29123699
259,29369219
260,29672742
261,29962458
262,30280644
263,30592612
264,30886117
265,31170446
266,31439385
267,31722095
268,32033576
269,32354464
270,32666065
271,32965332
272,33245188
273,33483700
274,33777640
275,34093649
276,34416819
277,34735609
278,35037521
279,35318539
280,35588955
281,35915711
282,36269339
283,36632381
284,36981608
285,37331038
286,37635121
287,37920156
288,38250857
289,38639239
290,39041830
291,39439184
292,39809523
293,40171423
294,40520438
295,40915393
296,41367666
297,41840149
298,42328912
299,42788505
300,43227467
301,43643296
302,44122622
303,44635850
304,45183707
305,45725379
306,46182582
307,46669406
308,47129957
309,47594234
